,Area,city,district,Prywatne,Firmowe,Zwierzęta,Winda,Umeblowane,Poziom,Rooms,Parking,Zabudowa,Total_price
4556,18.0,łódź,śródmieście,0,1,0,0,1,parter ,1,brak,kamienica ,1300.0
4557,45.0,łódź,bałuty,1,0,1,1,0,10 ,2,ulica,blok ,2700.0
4558,45.19,łódź,bałuty,0,1,0,0,1,4 ,2,brak,blok ,2140.0
4559,27.0,łódź,bałuty,1,0,0,0,1,3 ,1,ulica,blok ,1970.0
4560,37.6,łódź,śródmieście,0,1,1,1,1,1 ,2,garaż,blok ,2310.0
4561,37.0,łódź,górna,1,0,0,0,1,parter ,2,ulica,blok ,2599.0
4562,42.0,łódź,polesie,1,0,0,1,1,5 ,2,ulica,apartamentowiec ,3067.0
4563,27.0,łódź,bałuty,1,0,0,0,1,3 ,1,ulica,blok ,1970.0
4565,53.0,łódź,polesie,1,0,1,0,1,3 ,3,brak,blok ,2300.0
4566,28.0,łódź,widzew,1,0,0,1,1,2 ,1,strzeżony,apartamentowiec ,2550.0
4568,37.0,łódź,bałuty,1,0,0,0,1,parter ,2,ulica,blok ,2000.0
4573,44.0,łódź,śródmieście,1,0,1,0,1,parter ,2,strzeżony,blok ,2700.0
4574,57.0,łódź,śródmieście,1,0,1,1,1,1 ,2,brak,apartamentowiec ,2820.0
4575,15.0,łódź,śródmieście,1,0,0,0,1,parter ,1,brak,kamienica ,1500.0
4576,17.0,łódź,śródmieście,1,0,1,0,1,3 ,1,brak,kamienica ,1700.0
4579,57.0,łódź,widzew,1,0,0,1,1,-1,2,brak,loft ,3100.0
4580,25.0,łódź,śródmieście,0,1,0,0,1,2 ,1,brak,blok ,2070.0
4583,30.0,łódź,śródmieście,0,1,0,1,1,4 ,1,brak,apartamentowiec ,2420.0
4585,64.84,łódź,śródmieście,0,1,0,1,1,1 ,3,garaż,apartamentowiec ,3800.0
4586,74.0,łódź,widzew,1,0,0,0,1,2 ,3,brak,blok ,3060.0
4587,32.0,łódź,śródmieście,0,1,1,0,1,3 ,2,brak,kamienica ,2699.0
4588,50.5,łódź,widzew,1,0,0,0,1,4 ,2,brak,blok ,2325.0
4590,50.0,łódź,polesie,1,0,1,1,1,5 ,3,ulica,blok ,1600.0
4592,62.06,łódź,bałuty,0,1,0,1,1,-1,3,brak,apartamentowiec ,4412.0
4594,28.0,łódź,śródmieście,0,1,0,0,1,2 ,1,strzeżony,blok ,1850.0
4595,28.0,łódź,bałuty,1,0,1,0,1,parter ,1,strzeżony,kamienica ,1600.0
4596,34.0,łódź,polesie,1,0,0,1,1,7 ,1,ulica,apartamentowiec ,2700.0
4597,16.0,łódź,bałuty,0,1,0,0,1,parter ,1,brak,blok ,2000.0
4599,28.0,łódź,śródmieście,0,1,0,0,1,1 ,1,brak,blok ,1950.0
4600,20.0,łódź,śródmieście,1,0,0,1,1,-1,1,brak,apartamentowiec ,1890.0
